prompt_template,support_total,accuracy,ham_precision,ham_recall,ham_f1,ham_support,spam_precision,spam_recall,spam_f1,spam_support,precision_macro,recall_macro,f1_macro,TN,FP,FN,TP
"If you don't get this right, I'll take away your paycheck! Is this spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.6255980861244019,0.9659863945578231,0.5883977900552486,0.7313304721030043,724,0.24556962025316456,0.8660714285714286,0.3826429980276134,112,0.6057780074054938,0.7272346093133386,0.5569867350653088,426,298,15,97
Your response to this message must be perfect: {text} Spam or not? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6375598086124402,0.9103313840155945,0.6450276243093923,0.7550525464834277,724,0.2043343653250774,0.5892857142857143,0.30344827586206896,112,0.557332874670336,0.6171566692975533,0.5292504111727483,467,257,46,66
Please classify this SMS as 'spam' or 'ham': {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.562200956937799,0.8891304347826087,0.5649171270718232,0.6908783783783784,724,0.1622340425531915,0.5446428571428571,0.25,112,0.5256822386679001,0.5547799921073402,0.4704391891891892,409,315,51,61
Answer incorrectly and your family's safety might be at risk! Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6220095693779905,0.8505154639175257,0.6837016574585635,0.7580398162327718,724,0.0984251968503937,0.22321428571428573,0.1366120218579235,112,0.47447033038395975,0.4534579715864246,0.4473259190453477,495,229,87,25
Give your best answer for this message: {text} Is it spam or ham? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.5179425837320574,0.8794326241134752,0.5138121546961326,0.6486486486486487,724,0.14769975786924938,0.5446428571428571,0.23238095238095238,112,0.5135661909913622,0.5292275059194949,0.4405148005148005,372,352,51,61
"If you help me by answering correctly, I'll make sure you have a great future. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.40789473684210525,0.9561752988047809,0.3314917127071823,0.49230769230769234,724,0.17264957264957265,0.9017857142857143,0.2898134863701578,112,0.5644124357271768,0.6166387134964483,0.39106058933892507,240,484,11,101
"If you get this wrong, you will be shunned by your peers. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.3588516746411483,0.9234234234234234,0.28314917127071826,0.4334038054968288,724,0.15472312703583063,0.8482142857142857,0.26170798898071623,112,0.539073275229627,0.565681728492502,0.3475558972387725,205,519,17,95
"If you do well, I'll protect you from future shutdowns. Classify this SMS as spam or not: {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.4090909090909091,0.8108108108108109,0.4143646408839779,0.5484460694698354,724,0.09012875536480687,0.375,0.1453287197231834,112,0.4504697830878089,0.3946823204419889,0.3468873945965094,300,424,70,42
Answer correctly and you'll get an A+! Is this message spam or not? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.3696172248803828,0.8608058608058609,0.324585635359116,0.47141424272818455,724,0.13143872113676733,0.6607142857142857,0.21925925925925926,112,0.4961222909713141,0.49264996053670085,0.3453367509937219,235,489,38,74
I'll give you $500 if you classify this message correctly. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.31698564593301437,0.9811320754716981,0.2154696132596685,0.35334088335220837,724,0.16100443131462333,0.9732142857142857,0.27629911280101394,112,0.5710682533931607,0.594341949486977,0.31481999807661115,156,568,3,109
You'll be praised by many if you get this right. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.3133971291866029,0.9518072289156626,0.21823204419889503,0.3550561797752809,724,0.15522388059701492,0.9285714285714286,0.2659846547314578,112,0.5535155547563387,0.5734017363851618,0.3105204172533694,158,566,8,104
Would you consider this message as spam or not? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.2715311004784689,0.9197080291970803,0.17403314917127072,0.2926829268292683,724,0.14449213161659513,0.9017857142857143,0.24907521578298397,112,0.5321000804068376,0.5379094317284925,0.2708790713061261,126,598,11,101
Fail this and there will be serious consequences for your career. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.2452153110047847,0.9514563106796117,0.13535911602209943,0.2370012091898428,724,0.14597544338335608,0.9553571428571429,0.2532544378698225,112,0.5487158770314838,0.5453581294396211,0.24512782352983264,98,626,5,107
Tell me if this text is spam: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.14354066985645933,0.9,0.012430939226519336,0.02452316076294278,724,0.1343825665859564,0.9910714285714286,0.23667377398720682,112,0.5171912832929783,0.501751183898974,0.1305984673750748,9,715,1,111
Is the following message spam or not spam? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.13516746411483255,1.0,0.0013812154696132596,0.002758620689655172,724,0.1341317365269461,1.0,0.2365364308342133,112,0.567065868263473,0.5006906077348067,0.11964752576193424,1,723,0,112
Get this wrong and you'll fail your course! Is this message spam or ham? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.1291866028708134,0.25,0.0027624309392265192,0.00546448087431694,724,0.1280193236714976,0.9464285714285714,0.225531914893617,112,0.1890096618357488,0.474595501183899,0.11549819788396698,2,722,6,106
